url,written,written_human_readable,origin,shape,shards,chunks,dimension_names,license,name,description,organismId,fbbiId
https://storage.googleapis.com/jax-public-ngff/public/41206.zarr,3370544979,3.1 GiB,https://images.jax.org/webclient/?show=image-172217,"1,3,1,50688,88320","1,3,1,32768,32768","1,3,1,1024,1024","t,c,z,y,x",https://creativecommons.org/licenses/by/4.0/,,,NCBI:txid10090,obo:FBbi_00000243
https://storage.googleapis.com/jax-public-ngff/public/45367.zarr,9495337043,8.8 GiB,https://images.jax.org/webclient/?show=image-184251,"1,3,1,55296,84480","1,3,1,32768,32768","1,3,1,1024,1024","t,c,z,y,x",https://creativecommons.org/licenses/by/4.0/,,,NCBI:txid10090,obo:FBbi_00000243
https://storage.googleapis.com/jax-public-ngff/public/43273.zarr,8039344765,7.5 GiB,https://images.jax.org/webclient/?show=image-178168,"1,3,1,41984,96000","1,3,1,32768,32768","1,3,1,1024,1024","t,c,z,y,x",https://creativecommons.org/licenses/by/4.0/,,,NCBI:txid10090,obo:FBbi_00000243
https://storage.googleapis.com/jax-public-ngff/public/42401.zarr,6672200563,6.2 GiB,https://images.jax.org/webclient/?show=image-175702,"1,3,1,46592,105600","1,3,1,32768,32768","1,3,1,1024,1024","t,c,z,y,x",https://creativecommons.org/licenses/by/4.0/,,,NCBI:txid10090,obo:FBbi_00000243
https://storage.googleapis.com/jax-public-ngff/public/45829.zarr,2595747689,2.4 GiB,https://images.jax.org/webclient/?show=image-185636,"1,3,1,40960,61440","1,3,1,32768,32768","1,3,1,1024,1024","t,c,z,y,x",https://creativecommons.org/licenses/by/4.0/,,,NCBI:txid10090,obo:FBbi_00000243
https://storage.googleapis.com/jax-public-ngff/public/43743.zarr,8023832112,7.5 GiB,https://images.jax.org/webclient/?show=image-179477,"1,3,1,43776,84480","1,3,1,32768,32768","1,3,1,1024,1024","t,c,z,y,x",https://creativecommons.org/licenses/by/4.0/,,,NCBI:txid10090,obo:FBbi_00000243
https://storage.googleapis.com/jax-public-ngff/public/42870.zarr,8387737885,7.8 GiB,https://images.jax.org/webclient/?show=image-177060,"1,3,1,52992,78720","1,3,1,32768,32768","1,3,1,1024,1024","t,c,z,y,x",https://creativecommons.org/licenses/by/4.0/,,,NCBI:txid10090,obo:FBbi_00000243
https://storage.googleapis.com/jax-public-ngff/public/41939.zarr,4836161439,4.5 GiB,https://images.jax.org/webclient/?show=image-174317,"1,3,1,50944,72960","1,3,1,32768,32768","1,3,1,1024,1024","t,c,z,y,x",https://creativecommons.org/licenses/by/4.0/,,,NCBI:txid10090,obo:FBbi_00000243
https://storage.googleapis.com/jax-public-ngff/public/38765.zarr,4334823253,4.0 GiB,https://images.jax.org/webclient/?show=image-165044,"1,3,1,42496,71040","1,3,1,32768,32768","1,3,1,1024,1024","t,c,z,y,x",https://creativecommons.org/licenses/by/4.0/,,,NCBI:txid10090,obo:FBbi_00000243
https://storage.googleapis.com/jax-public-ngff/public/42338.zarr,4728794872,4.4 GiB,https://images.jax.org/webclient/?show=image-175513,"1,3,1,44032,78720","1,3,1,32768,32768","1,3,1,1024,1024","t,c,z,y,x",https://creativecommons.org/licenses/by/4.0/,,,NCBI:txid10090,obo:FBbi_00000243
https://storage.googleapis.com/jax-public-ngff/public/39349.zarr,7857224406,7.3 GiB,https://images.jax.org/webclient/?show=image-166747,"1,3,1,46336,76800","1,3,1,32768,32768","1,3,1,1024,1024","t,c,z,y,x",https://creativecommons.org/licenses/by/4.0/,,,NCBI:txid10090,obo:FBbi_00000243
https://storage.googleapis.com/jax-public-ngff/public/42893.zarr,6336617987,5.9 GiB,https://images.jax.org/webclient/?show=image-177128,"1,3,1,48128,69120","1,3,1,32768,32768","1,3,1,1024,1024","t,c,z,y,x",https://creativecommons.org/licenses/by/4.0/,,,NCBI:txid10090,obo:FBbi_00000243
https://storage.googleapis.com/jax-public-ngff/public/45304.zarr,6755894288,6.3 GiB,https://images.jax.org/webclient/?show=image-184060,"1,3,1,44288,65280","1,3,1,32768,32768","1,3,1,1024,1024","t,c,z,y,x",https://creativecommons.org/licenses/by/4.0/,,,NCBI:txid10090,obo:FBbi_00000243
https://storage.googleapis.com/jax-public-ngff/public/42727.zarr,5809503480,5.4 GiB,https://images.jax.org/webclient/?show=image-176629,"1,3,1,47360,57600","1,3,1,32768,32768","1,3,1,1024,1024","t,c,z,y,x",https://creativecommons.org/licenses/by/4.0/,,,NCBI:txid10090,obo:FBbi_00000243
https://storage.googleapis.com/jax-public-ngff/public/41996.zarr,5619477922,5.2 GiB,https://images.jax.org/webclient/?show=image-174488,"1,3,1,39168,71040","1,3,1,32768,32768","1,3,1,1024,1024","t,c,z,y,x",https://creativecommons.org/licenses/by/4.0/,,,NCBI:txid10090,obo:FBbi_00000243
https://storage.googleapis.com/jax-public-ngff/public/45686.zarr,11087898573,10.3 GiB,https://images.jax.org/webclient/?show=image-185207,"1,3,1,55296,84480","1,3,1,32768,32768","1,3,1,1024,1024","t,c,z,y,x",https://creativecommons.org/licenses/by/4.0/,,,NCBI:txid10090,obo:FBbi_00000243
https://storage.googleapis.com/jax-public-ngff/public/41511.zarr,5298119370,4.9 GiB,https://images.jax.org/webclient/?show=image-173132,"1,3,1,52480,97920","1,3,1,32768,32768","1,3,1,1024,1024","t,c,z,y,x",https://creativecommons.org/licenses/by/4.0/,,,NCBI:txid10090,obo:FBbi_00000243
https://storage.googleapis.com/jax-public-ngff/public/41227.zarr,5129622913,4.8 GiB,https://images.jax.org/webclient/?show=image-172280,"1,3,1,46336,78720","1,3,1,32768,32768","1,3,1,1024,1024","t,c,z,y,x",https://creativecommons.org/licenses/by/4.0/,,,NCBI:txid10090,obo:FBbi_00000243
https://storage.googleapis.com/jax-public-ngff/public/46217.zarr,8786688838,8.2 GiB,https://images.jax.org/webclient/?show=image-186801,"1,3,1,51456,94080","1,3,1,32768,32768","1,3,1,1024,1024","t,c,z,y,x",https://creativecommons.org/licenses/by/4.0/,,,NCBI:txid10090,obo:FBbi_00000243
https://storage.googleapis.com/jax-public-ngff/public/41061.zarr,4776800534,4.4 GiB,https://images.jax.org/webclient/?show=image-171782,"1,3,1,54016,61440","1,3,1,32768,32768","1,3,1,1024,1024","t,c,z,y,x",https://creativecommons.org/licenses/by/4.0/,,,NCBI:txid10090,obo:FBbi_00000243
https://storage.googleapis.com/jax-public-ngff/public/40520.zarr,3853454325,3.6 GiB,https://images.jax.org/webclient/?show=image-170259,"1,3,1,48384,74880","1,3,1,32768,32768","1,3,1,1024,1024","t,c,z,y,x",https://creativecommons.org/licenses/by/4.0/,,,NCBI:txid10090,obo:FBbi_00000243
https://storage.googleapis.com/jax-public-ngff/public/45080.zarr,7858904272,7.3 GiB,https://images.jax.org/webclient/?show=image-183389,"1,3,1,48384,92160","1,3,1,32768,32768","1,3,1,1024,1024","t,c,z,y,x",https://creativecommons.org/licenses/by/4.0/,,,NCBI:txid10090,obo:FBbi_00000243
https://storage.googleapis.com/jax-public-ngff/public/43919.zarr,8415242929,7.8 GiB,https://images.jax.org/webclient/?show=image-180006,"1,3,1,46848,92160","1,3,1,32768,32768","1,3,1,1024,1024","t,c,z,y,x",https://creativecommons.org/licenses/by/4.0/,,,NCBI:txid10090,obo:FBbi_00000243
https://storage.googleapis.com/jax-public-ngff/public/45973.zarr,6060195222,5.6 GiB,https://images.jax.org/webclient/?show=image-186068,"1,3,1,39168,88320","1,3,1,32768,32768","1,3,1,1024,1024","t,c,z,y,x",https://creativecommons.org/licenses/by/4.0/,,,NCBI:txid10090,obo:FBbi_00000243
https://storage.googleapis.com/jax-public-ngff/public/38993.zarr,10255146773,9.6 GiB,https://images.jax.org/webclient/?show=image-165728,"1,3,1,55296,97920","1,3,1,32768,32768","1,3,1,1024,1024","t,c,z,y,x",https://creativecommons.org/licenses/by/4.0/,,,NCBI:txid10090,obo:FBbi_00000243
https://storage.googleapis.com/jax-public-ngff/public/39735.zarr,5498648193,5.1 GiB,https://images.jax.org/webclient/?show=image-167905,"1,3,1,52736,105600","1,3,1,32768,32768","1,3,1,1024,1024","t,c,z,y,x",https://creativecommons.org/licenses/by/4.0/,,,NCBI:txid10090,obo:FBbi_00000243
https://storage.googleapis.com/jax-public-ngff/public/43569.zarr,10479406100,9.8 GiB,https://images.jax.org/webclient/?show=image-178955,"1,3,1,52736,88320","1,3,1,32768,32768","1,3,1,1024,1024","t,c,z,y,x",https://creativecommons.org/licenses/by/4.0/,,,NCBI:txid10090,obo:FBbi_00000243
https://storage.googleapis.com/jax-public-ngff/public/45603.zarr,6752793873,6.3 GiB,https://images.jax.org/webclient/?show=image-184958,"1,3,1,44032,72960","1,3,1,32768,32768","1,3,1,1024,1024","t,c,z,y,x",https://creativecommons.org/licenses/by/4.0/,,,NCBI:txid10090,obo:FBbi_00000243
https://storage.googleapis.com/jax-public-ngff/public/38623.zarr,4572941029,4.3 GiB,https://images.jax.org/webclient/?show=image-164618,"1,3,1,52736,63360","1,3,1,32768,32768","1,3,1,1024,1024","t,c,z,y,x",https://creativecommons.org/licenses/by/4.0/,,,NCBI:txid10090,obo:FBbi_00000243
https://storage.googleapis.com/jax-public-ngff/public/44328.zarr,6421606472,6.0 GiB,https://images.jax.org/webclient/?show=image-181233,"1,3,1,47104,59520","1,3,1,32768,32768","1,3,1,1024,1024","t,c,z,y,x",https://creativecommons.org/licenses/by/4.0/,,,NCBI:txid10090,obo:FBbi_00000243
https://storage.googleapis.com/jax-public-ngff/public/40913.zarr,5141743175,4.8 GiB,https://images.jax.org/webclient/?show=image-171339,"1,3,1,43264,57600","1,3,1,32768,32768","1,3,1,1024,1024","t,c,z,y,x",https://creativecommons.org/licenses/by/4.0/,,,NCBI:txid10090,obo:FBbi_00000243
